==================================================
        LR-IOTA PROTOCOL SIMULATION LOGGER        
==================================================
Timestamp(us)	ID	Message
28255000	ID:1	No route found
28255000	ID:1	
28255000	ID:1	No route found
28255000	ID:1	
28255000	ID:1	
28299680	ID:2	
28299680	ID:2	Receiving UDP packet
28299680	ID:2	
28299680	ID:2	
28299680	ID:2	
28299680	ID:2	
28305120	ID:1	
28305120	ID:1	Receiving UDP packet
28430000	ID:1	
28430000	ID:1	No route found
28430000	ID:1	
28430000	ID:1	No route found
28430000	ID:1	
28430000	ID:1	
28472680	ID:2	
28472680	ID:2	Receiving UDP packet
28472680	ID:2	
28472680	ID:2	
28472680	ID:2	
28472680	ID:2	
28506440	ID:1	
28506440	ID:1	Receiving UDP packet
28631000	ID:1	
28631000	ID:1	No route found
28631000	ID:1	
28631000	ID:1	No route found
28631000	ID:1	
28631000	ID:1	
28648680	ID:2	
28648680	ID:2	Receiving UDP packet
28648680	ID:2	
28648680	ID:2	
28648680	ID:2	
28648680	ID:2	
28689440	ID:1	
28689440	ID:1	Receiving UDP packet
28814000	ID:1	
28814000	ID:1	No route found
28814000	ID:1	
28814000	ID:1	No route found
28814000	ID:1	
28814000	ID:1	
28823680	ID:2	
28823680	ID:2	Receiving UDP packet
28823680	ID:2	
28823680	ID:2	
28823680	ID:2	
28823680	ID:2	
28867440	ID:1	
28867440	ID:1	Receiving UDP packet
28992000	ID:1	
28992000	ID:1	No route found
28992000	ID:1	
28992000	ID:1	No route found
28992000	ID:1	
28992000	ID:1	
29030680	ID:2	
29030680	ID:2	Receiving UDP packet
29030680	ID:2	
29030680	ID:2	
29030680	ID:2	
29030680	ID:2	
29053440	ID:1	
29053440	ID:1	Receiving UDP packet
29178000	ID:1	
29178000	ID:1	No route found
29178000	ID:1	
29178000	ID:1	No route found
29178000	ID:1	
29178000	ID:1	
29216680	ID:2	
29216680	ID:2	Receiving UDP packet
29216680	ID:2	
29216680	ID:2	
29216680	ID:2	
29216680	ID:2	
29231440	ID:1	
29231440	ID:1	Receiving UDP packet
29356000	ID:1	
29356000	ID:1	No route found
29356000	ID:1	
29356000	ID:1	No route found
29356000	ID:1	
29356000	ID:1	
29365680	ID:2	
29365680	ID:2	Receiving UDP packet
29365680	ID:2	
29365680	ID:2	
29365680	ID:2	
29365680	ID:2	
29373440	ID:1	
29373440	ID:1	Receiving UDP packet
29498000	ID:1	
29498000	ID:1	No route found
29498000	ID:1	
29498000	ID:1	No route found
29498000	ID:1	
29498000	ID:1	
29524680	ID:2	
29524680	ID:2	Receiving UDP packet
29524680	ID:2	
29524680	ID:2	
29524680	ID:2	
29524680	ID:2	
29534440	ID:1	
29534440	ID:1	Receiving UDP packet
29659000	ID:1	
29659000	ID:1	No route found
29659000	ID:1	
29659000	ID:1	No route found
29659000	ID:1	
29659000	ID:1	
29677680	ID:2	
29677680	ID:2	Receiving UDP packet
29677680	ID:2	
29677680	ID:2	
29677680	ID:2	
29677680	ID:2	
29705440	ID:1	
29705440	ID:1	Receiving UDP packet
29830000	ID:1	
29830000	ID:1	No route found
29830000	ID:1	
29830000	ID:1	No route found
29830000	ID:1	
29830000	ID:1	
29847680	ID:2	
29847680	ID:2	Receiving UDP packet
29847680	ID:2	
29847680	ID:2	
29847680	ID:2	
29847680	ID:2	
29853440	ID:1	
29853440	ID:1	Receiving UDP packet
29978000	ID:1	
29978000	ID:1	No route found
29978000	ID:1	
29978000	ID:1	No route found
29978000	ID:1	
29978000	ID:1	
30011680	ID:2	
30011680	ID:2	Receiving UDP packet
30011680	ID:2	
30011680	ID:2	
30011680	ID:2	
30011680	ID:2	
30030440	ID:1	
30030440	ID:1	Receiving UDP packet
30155000	ID:1	
30155000	ID:1	No route found
30155000	ID:1	
30155000	ID:1	No route found
30155000	ID:1	
30155000	ID:1	
30185680	ID:2	
30185680	ID:2	Receiving UDP packet
30185680	ID:2	
30185680	ID:2	
30185680	ID:2	
30185680	ID:2	
30226440	ID:1	
30226440	ID:1	Receiving UDP packet
30324464	ID:2	
30324464	ID:2	
30324464	ID:2	
30324464	ID:2	
30324464	ID:2	
30351000	ID:1	
30351000	ID:1	No route found
30351000	ID:1	
30351000	ID:1	No route found
30351000	ID:1	
30351000	ID:1	
30396680	ID:2	
30396680	ID:2	Receiving UDP packet
30396680	ID:2	
30396680	ID:2	
30396680	ID:2	
30396680	ID:2	
30411440	ID:1	
30411440	ID:1	Receiving UDP packet
30536000	ID:1	
30536000	ID:1	No route found
30536000	ID:1	
30536000	ID:1	No route found
30536000	ID:1	
30536000	ID:1	
30563680	ID:2	
30563680	ID:2	Receiving UDP packet
30563680	ID:2	
30563680	ID:2	
30563680	ID:2	
30563680	ID:2	
30570440	ID:1	
30570440	ID:1	Receiving UDP packet
30695000	ID:1	
30695000	ID:1	No route found
30695000	ID:1	
30695000	ID:1	No route found
30695000	ID:1	
30695000	ID:1	
30712680	ID:2	
30712680	ID:2	Receiving UDP packet
30712680	ID:2	
30712680	ID:2	
30712680	ID:2	
30712680	ID:2	
30755440	ID:1	
30755440	ID:1	Receiving UDP packet
30880000	ID:1	
30880000	ID:1	No route found
30880000	ID:1	
30880000	ID:1	No route found
30880000	ID:1	
30880000	ID:1	
30901680	ID:2	
30901680	ID:2	Receiving UDP packet
30901680	ID:2	
30901680	ID:2	
30901680	ID:2	
30901680	ID:2	
30938440	ID:1	
30938440	ID:1	Receiving UDP packet
30981040	ID:2	
31063000	ID:1	
31063000	ID:1	No route found
31063000	ID:1	
31063000	ID:1	No route found
31063000	ID:1	
31063000	ID:1	
31100680	ID:2	
31100680	ID:2	Receiving UDP packet
31100680	ID:2	
31100680	ID:2	
31100680	ID:2	
31100680	ID:2	
31112440	ID:1	
31112440	ID:1	Receiving UDP packet
31237000	ID:1	
31237000	ID:1	No route found
31237000	ID:1	
31237000	ID:1	No route found
31237000	ID:1	
31237000	ID:1	
31260680	ID:2	
31260680	ID:2	Receiving UDP packet
31260680	ID:2	
31260680	ID:2	
31260680	ID:2	
31260680	ID:2	
31272440	ID:1	
31272440	ID:1	Receiving UDP packet
31397000	ID:1	
31397000	ID:1	No route found
31397000	ID:1	
31397000	ID:1	No route found
31397000	ID:1	
31397000	ID:1	
31428680	ID:2	
31428680	ID:2	Receiving UDP packet
31428680	ID:2	
31428680	ID:2	
31428680	ID:2	
31428680	ID:2	
31464440	ID:1	
31464440	ID:1	Receiving UDP packet
31589000	ID:1	
31589000	ID:1	No route found
31589000	ID:1	
31589000	ID:1	No route found
31589000	ID:1	
31589000	ID:1	
31597680	ID:2	
31597680	ID:2	Receiving UDP packet
31597680	ID:2	
31597680	ID:2	
31597680	ID:2	
31597680	ID:2	
31608440	ID:1	
31608440	ID:1	Receiving UDP packet
31733000	ID:1	
31733000	ID:1	No route found
31733000	ID:1	
31733000	ID:1	No route found
31733000	ID:1	
31733000	ID:1	
31741680	ID:2	
31741680	ID:2	Receiving UDP packet
31741680	ID:2	
31741680	ID:2	
31741680	ID:2	
31741680	ID:2	
31771440	ID:1	
31771440	ID:1	Receiving UDP packet
31896000	ID:1	
31896000	ID:1	No route found
31896000	ID:1	
31896000	ID:1	No route found
31896000	ID:1	
31896000	ID:1	
31903680	ID:2	
31903680	ID:2	Receiving UDP packet
31903680	ID:2	
31903680	ID:2	
31903680	ID:2	
31903680	ID:2	
31909120	ID:1	
31909120	ID:1	Receiving UDP packet
32034000	ID:1	
32034000	ID:1	No route found
32034000	ID:1	
32034000	ID:1	No route found
32034000	ID:1	
32034000	ID:1	
32046680	ID:2	
32046680	ID:2	Receiving UDP packet
32046680	ID:2	
32046680	ID:2	
32046680	ID:2	
32046680	ID:2	
32062440	ID:1	
32062440	ID:1	Receiving UDP packet
32187000	ID:1	
32187000	ID:1	No route found
32187000	ID:1	
32187000	ID:1	No route found
32187000	ID:1	
32187000	ID:1	
32229680	ID:2	
32229680	ID:2	Receiving UDP packet
32229680	ID:2	
32229680	ID:2	
32229680	ID:2	
32229680	ID:2	
32246440	ID:1	
32246440	ID:1	Receiving UDP packet
32371000	ID:1	
32371000	ID:1	No route found
32371000	ID:1	
32371000	ID:1	No route found
32371000	ID:1	
32371000	ID:1	
32398680	ID:2	
32398680	ID:2	Receiving UDP packet
32398680	ID:2	
32398680	ID:2	
32398680	ID:2	
32398680	ID:2	
32425440	ID:1	
32425440	ID:1	Receiving UDP packet
32550000	ID:1	
32550000	ID:1	No route found
32550000	ID:1	
32550000	ID:1	No route found
32550000	ID:1	
32550000	ID:1	
32568680	ID:2	
32568680	ID:2	Receiving UDP packet
32568680	ID:2	
32568680	ID:2	
32568680	ID:2	
32568680	ID:2	
32576440	ID:1	
32576440	ID:1	Receiving UDP packet
32701000	ID:1	
32701000	ID:1	No route found
32701000	ID:1	
32701000	ID:1	No route found
32701000	ID:1	
32701000	ID:1	
32739680	ID:2	
32739680	ID:2	Receiving UDP packet
32739680	ID:2	
32739680	ID:2	
32739680	ID:2	
32739680	ID:2	
32758440	ID:1	
32758440	ID:1	Receiving UDP packet
32883000	ID:1	
32883000	ID:1	No route found
32883000	ID:1	
32883000	ID:1	No route found
32883000	ID:1	
32883000	ID:1	
32929680	ID:2	
32929680	ID:2	Receiving UDP packet
32929680	ID:2	
32929680	ID:2	
32929680	ID:2	
32929680	ID:2	
32968440	ID:1	
32968440	ID:1	Receiving UDP packet
33093000	ID:1	
33093000	ID:1	No route found
33093000	ID:1	
33093000	ID:1	No route found
33093000	ID:1	
33093000	ID:1	
33104680	ID:2	
33104680	ID:2	Receiving UDP packet
33104680	ID:2	
33104680	ID:2	
33104680	ID:2	
33104680	ID:2	
33116440	ID:1	
33116440	ID:1	Receiving UDP packet
33241000	ID:1	
33241000	ID:1	No route found
33241000	ID:1	
33241000	ID:1	No route found
33241000	ID:1	
33241000	ID:1	
33261680	ID:2	
33261680	ID:2	Receiving UDP packet
33261680	ID:2	
33261680	ID:2	
33261680	ID:2	
33261680	ID:2	
33288440	ID:1	
33288440	ID:1	Receiving UDP packet
33413000	ID:1	
33413000	ID:1	No route found
33413000	ID:1	
33413000	ID:1	No route found
33413000	ID:1	
33413000	ID:1	
33446680	ID:2	
33446680	ID:2	Receiving UDP packet
33446680	ID:2	
33446680	ID:2	
33446680	ID:2	
33446680	ID:2	
33453440	ID:1	
